repository_name,date,views,unique_visitors/cloners
global-payments,2024-02-08,5,3
global-payments,2024-01-19,1,1
global-payments,2024-02-09,3,3
global-payments,2024-01-29,1,1
global-payments,2024-02-18,21,1
global-payments,2024-01-20,19,1
global-payments,2024-01-30,5,2
global-payments,2024-02-01,4,1
global-payments,2024-02-20,9,4
global-payments,2024-01-22,6,1
global-payments,2024-01-31,41,6
global-payments,2024-02-02,2,2
global-payments,2024-02-21,2,2
global-payments,2024-01-23,1,1
global-payments,2024-01-25,2,2
global-payments,2024-02-14,5,3
global-payments,2024-02-06,6,3
global-payments,2024-01-26,2,2
global-payments,2024-02-16,11,4
global-payments,2024-01-18,2,2
global-payments,2024-02-07,14,4
